"request_parameters.type","request_parameters.amazon_domain","request_parameters.search_term","request_parameters.sort_by","request_parameters.page","request_parameters.custom_id","search_results.position","search_results.title","search_results.asin","search_results.link","search_results.image","search_results.rating","search_results.ratings_total","search_results.is_prime","search_results.sponsored","search_results.price.currency","search_results.price.value","search_results.page","search_results.add_on_item.is_add_on_item"
"search","amazon.de","iPhone","price_low_to_high",,,1,"Professionelle Saughalterung für iPhone 4/4S5/5C/5S/6/6 Plus und Smartphones","B06Y441F15","https://www.amazon.de/Professionelle-Grundlage-Saugleistung-Display-Smartphones/dp/B06Y441F15/ref=sr_1_1?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-1","https://m.media-amazon.com/images/I/41vxC0Cl0CL._AC_UY218_.jpg",,,,,,,,
"search","amazon.de","iPhone","price_low_to_high",,,2,"Tigra Sport Fahrrad-Set FITCLIC PRO für iPhone 7/8","B01MTAGN0I","https://www.amazon.de/Fahrrad-Set-TIGRA-FITCLIC-iPhone-Schwarz/dp/B01MTAGN0I/ref=sr_1_2?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-2","https://m.media-amazon.com/images/I/51Ufljc6GwL._AC_UY218_.jpg",,,true,,"EUR",44.53,,
"search","amazon.de","iPhone","price_low_to_high",,,3,"Apple iPhone 7, Smartphone 32 GB, Nero (Generalüberholt)","B074N8HDGP","https://www.amazon.de/Apple-iPhone-Smartphone-Nero-General%C3%BCberholt-Negro/dp/B074N8HDGP/ref=sr_1_3?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-3","https://m.media-amazon.com/images/I/51rxj5TepeL._AC_UY218_.jpg",3.9,658,,,"EUR",168.9,,
"search","amazon.de","iPhone","price_low_to_high",,,4,"Apple iPhone SE 16GB - Silber - Entriegelte (Generalüberholt)","B01MDR7D14","https://www.amazon.de/Apple-iPhone-Unlocked-Refurbished-Smartphone-Silver/dp/B01MDR7D14/ref=sr_1_4?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-4","https://m.media-amazon.com/images/I/5127Ybm6IQL._AC_UY218_.jpg",1,1,true,,"EUR",136.89,,
"search","amazon.de","iPhone","price_low_to_high",,,5,"Apple iPhone 7 SIM-Free Smartphone Black 32GB (Generalüberholt)","B06Y5X22R3","https://www.amazon.de/Apple-iPhone-SIM-Free-Smartphone-General%C3%BCberholt-black/dp/B06Y5X22R3/ref=sr_1_5?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-5","https://m.media-amazon.com/images/I/41cepawlXVL._AC_UY218_.jpg",4.2,1652,,,"EUR",169,,
"search","amazon.de","iPhone","price_low_to_high",,,6,"Apple iPhone 7, 32GB, Gold (Generalüberholt)","B06Y5XT4VG","https://www.amazon.de/Apple-iPhone-SIM-Free-Smartphone-General%C3%BCberholt-Gold/dp/B06Y5XT4VG/ref=sr_1_6?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-6","https://m.media-amazon.com/images/I/51CycaATjIL._AC_UY218_.jpg",4.2,535,,,"EUR",169,,
"search","amazon.de","iPhone","price_low_to_high",,,7,"Apple iPhone 7 32GB - Silber - Entriegelte (Generalüberholt)","B01NA6O3IY","https://www.amazon.de/Apple-iPhone-SIM-Free-Smartphone-General%C3%BCberholt-silver/dp/B01NA6O3IY/ref=sr_1_7?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-7","https://m.media-amazon.com/images/I/510qlBM-rmL._AC_UY218_.jpg",4.2,644,,,"EUR",169,,
"search","amazon.de","iPhone","price_low_to_high",,,8,"Apple iPhone 6s Plus 32GB - Gold - Entriegelte (Generalüberholt)","B079MD3RZD","https://www.amazon.de/Apple-iPhone-SIM-Free-Smartphone-General%C3%BCberholt-Gold/dp/B079MD3RZD/ref=sr_1_8?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-8","https://m.media-amazon.com/images/I/51zKIlnPhAL._AC_UY218_.jpg",3.5,25,,,"EUR",179.99,,
"search","amazon.de","iPhone","price_low_to_high",,,9,"Apple iPhone 6S 64 GB UK SIM-Free Smartphone - Gold (Renewed)","B071NV7GQB","https://www.amazon.de/Apple-iPhone-SIM-Free-Smartphone-General%C3%BCberholt-Gold/dp/B071NV7GQB/ref=sr_1_9?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-9","https://m.media-amazon.com/images/I/61axJmrffxL._AC_UY218_.jpg",3,10,true,,"EUR",184.89,,
"search","amazon.de","iPhone","price_low_to_high",,,10,"Apple iPhone 6s 16GB - Gold - Entriegelte (Generalüberholt)","B01AUORT5E","https://www.amazon.de/Apple-iPhone-16GB-gold-General%C3%BCberholt/dp/B01AUORT5E/ref=sr_1_10?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-10","https://m.media-amazon.com/images/I/61axJmrffxL._AC_UY218_.jpg",4,26,true,,"EUR",190.89,,
"search","amazon.de","iPhone","price_low_to_high",,,11,"Apple iPhone 6S 128 GB UK Sim-Free Smartphone - Silver (Generalüberholt)","B01AUORWEM","https://www.amazon.de/Apple-iPhone-6S-Sim-Free-Smartphone-silver/dp/B01AUORWEM/ref=sr_1_11?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-11","https://m.media-amazon.com/images/I/6155VoWzqML._AC_UY218_.jpg",3.2,7,true,,"EUR",191.89,,
"search","amazon.de","iPhone","price_low_to_high",,,12,"Apple iPhone 7 32GB - Pech Schwarz - Entriegelte (Generalüberholt)","B06Y1PG5H8","https://www.amazon.de/Apple-iPhone-SIM-Free-Smartphone-General%C3%BCberholt-black/dp/B06Y1PG5H8/ref=sr_1_12?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-12","https://m.media-amazon.com/images/I/51KS6WtzO9L._AC_UY218_.jpg",4.1,184,true,,"EUR",193.89,,
"search","amazon.de","iPhone","price_low_to_high",,,13,"Apple iPhone 6s 32GB - Gold - Entriegelte (Generalüberholt)","B0722XLNWV","https://www.amazon.de/Apple-iPhone-Sim-Free-Smartphone-General%C3%BCberholt-Gold/dp/B0722XLNWV/ref=sr_1_13?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-13","https://m.media-amazon.com/images/I/51Rb7hEftiL._AC_UY218_.jpg",4,75,true,,"EUR",197.89,,
"search","amazon.de","iPhone","price_low_to_high",,,14,"Apple iPhone 8 64GB - Space Grau - Entriegelte (Generalüberholt)","B0798H46CM","https://www.amazon.de/Apple-iPhone-Display-SIM-Free-General%C3%BCberholt-Space-Grau/dp/B0798H46CM/ref=sr_1_14?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-14","https://m.media-amazon.com/images/I/51nKwWxRJhL._AC_UY218_.jpg",4.2,18069,,,"EUR",198.89,,
"search","amazon.de","iPhone","price_low_to_high",,,15,"Apple iPhone SE 32GB - Silber - Entriegelte (Generalüberholt)","B0797S32FJ","https://www.amazon.de/Apple-iPhone-SE-Smartphone-General%C3%BCberholt-silver/dp/B0797S32FJ/ref=sr_1_15?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-15","https://m.media-amazon.com/images/I/41qzwk+zEML._AC_UY218_.jpg",3.7,29,,,"EUR",198.89,,
"search","amazon.de","iPhone","price_low_to_high",,,16,"Apple iPhone 7 Single SIM 4G 128GB Red - smartphones (11.9 cm (4.7in), 128 GB, 12 MP, iOS, 10, Red) (Generalüberholt)","B07BR6RWDP","https://www.amazon.de/Apple-iPhone-Single-128GB-General%C3%BCberholt-red/dp/B07BR6RWDP/ref=sr_1_16?keywords=iPhone&qid=1665768699&qu=eyJxc2MiOiI2Ljc0IiwicXNhIjoiNi44OCIsInFzcCI6IjYuNDIifQ%3D%3D&sr=8-16","https://m.media-amazon.com/images/I/81U36Sk3xAL._AC_UY218_.jpg",4.3,191,,,"EUR",199,,